ID,BARRIO,DISTRITO,ESTADO,LATITUD,LONGITUD,COD_POSTAL,FECHA_INSTALACION,coordenadasGPS,capacidadMax,cantidadJuegosPorTipo,estadoGlobalArea
17154,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.42543446,-3.72807568,28008,2007-04-11,"[-3.72807568, 40.42543446]",22,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
17156,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.42395978,-3.72677679,28008,2006-03-08,"[-3.72677679, 40.42395978]",24,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
17158,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45844211,-3.7842041,28023,2006-02-20,"[-3.7842041, 40.45844211]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
16823,ADELFAS,RETIRO,OPERATIVO,40.40141482,-3.67201234,28007,2006-12-17,"[-3.67201234, 40.40141482]",20,"{'deportivas': 0, 'mayores': 0, 'infantiles': 7}",BUENO
16825,ADELFAS,RETIRO,OPERATIVO,40.39944917,-3.66908498,28007,2007-10-30,"[-3.66908498, 40.39944917]",28,"{'deportivas': 0, 'mayores': 0, 'infantiles': 7}",SUFICIENTE
16827,ADELFAS,RETIRO,OPERATIVO,40.39963585,-3.67403068,28007,2010-02-22,"[-3.67403068, 40.39963585]",8,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",SUFICIENTE
16831,GUINDALERA,SALAMANCA,OPERATIVO,40.43887416,-3.66022495,28028,2005-10-18,"[-3.66022495, 40.43887416]",15,"{'deportivas': 1, 'mayores': 0, 'infantiles': 3}",BUENO
16833,LISTA,SALAMANCA,OPERATIVO,40.43593231,-3.67630269,28028,2005-11-17,"[-3.67630269, 40.43593231]",12,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
16835,GUINDALERA,SALAMANCA,OPERATIVO,40.44142869,-3.66069459,28028,2006-03-10,"[-3.66069459, 40.44142869]",11,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",INSUFICIENTE
16840,GUINDALERA,SALAMANCA,OPERATIVO,40.42944958,-3.66930617,28028,2005-11-10,"[-3.66930617, 40.42944958]",22,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
16842,GUINDALERA,SALAMANCA,OPERATIVO,40.43888107,-3.66242647,28028,2006-12-30,"[-3.66242647, 40.43888107]",25,"{'deportivas': 0, 'mayores': 0, 'infantiles': 13}",BUENO
16844,GUINDALERA,SALAMANCA,OPERATIVO,40.43731119,-3.66603998,28028,2006-04-07,"[-3.66603998, 40.43731119]",15,"{'deportivas': 0, 'mayores': 3, 'infantiles': 7}",INSUFICIENTE
16846,GUINDALERA,SALAMANCA,OPERATIVO,40.43884111,-3.6645475,28028,2004-09-13,"[-3.6645475, 40.43884111]",18,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",BUENO
16848,FUENTE DEL BERRO,SALAMANCA,OPERATIVO,40.42447228,-3.66092158,28028,2005-09-20,"[-3.66092158, 40.42447228]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
16850,CASTELLANA,SALAMANCA,OPERATIVO,40.42949904,-3.68754756,28001,2006-11-13,"[-3.68754756, 40.42949904]",22,"{'deportivas': 0, 'mayores': 0, 'infantiles': 12}",BUENO
17160,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.46137393,-3.77987477,28023,2007-05-03,"[-3.77987477, 40.46137393]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
17162,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45070661,-3.77386763,28023,2005-02-03,"[-3.77386763, 40.45070661]",11,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17164,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45002404,-3.77246082,28023,2006-02-20,"[-3.77246082, 40.45002404]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17167,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.44927275,-3.76953603,28023,2005-03-29,"[-3.76953603, 40.44927275]",8,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",SUFICIENTE
17169,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45328532,-3.77697302,28023,2006-02-15,"[-3.77697302, 40.45328532]",9,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",SUFICIENTE
17171,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45451719,-3.77891515,28023,2007-01-12,"[-3.77891515, 40.45451719]",18,"{'deportivas': 0, 'mayores': 0, 'infantiles': 6}",BUENO
17173,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.4560939,-3.77932321,28023,2005-12-01,"[-3.77932321, 40.4560939]",15,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",SUFICIENTE
17175,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.450917,-3.77787045,28023,2006-02-08,"[-3.77787045, 40.450917]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17179,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45126243,-3.78636781,28023,2006-01-11,"[-3.78636781, 40.45126243]",8,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",BUENO
17181,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.44959518,-3.78773139,28023,2004-09-13,"[-3.78773139, 40.44959518]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
