ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
21221,OPERATIVO,2007-06-26,DOS ASIENTOS CUNA,infantiles,True,medio,2024-10-02,2800,17698
21231,OPERATIVO,2008-09-08,DOS ASIENTOS PLANOS,infantiles,True,bajo,2024-05-26,800,17712
21236,OPERATIVO,2006-10-23,DOS ASIENTOS PLANOS,infantiles,False,bajo,2024-02-05,0,17720
21237,OPERATIVO,2006-12-26,DOS ASIENTOS PLANOS,infantiles,False,medio,2024-07-26,800,17722
21242,OPERATIVO,2006-11-15,DOS ASIENTOS PLANOS,infantiles,Desconocido,alto,Ausente,3300,17728
21261,OPERATIVO,2011-02-06,DOS ASIENTOS PLANOS,infantiles,Desconocido,medio,2024-04-09,900,17753
21266,OPERATIVO,2007-04-16,DOS ASIENTOS PLANOS,infantiles,False,medio,Ausente,1400,17763
21267,OPERATIVO,2013-01-01,DOS ASIENTOS CUNA,infantiles,True,bajo,2024-01-14,900,17764
21269,OPERATIVO,2011-02-06,DOS ASIENTOS PLANOS,infantiles,Desconocido,medio,2024-10-10,1400,17767
21271,OPERATIVO,2011-02-06,DOS ASIENTOS PLANOS,infantiles,True,medio,2024-01-14,200,17768
21277,OPERATIVO,2006-12-04,DOS ASIENTOS PLANOS,infantiles,False,alto,Ausente,4500,17775
21282,OPERATIVO,2007-03-22,DOS ASIENTOS CUNA,infantiles,True,medio,2023-10-28,2900,17783
21312,OPERATIVO,2004-01-01,DOS ASIENTOS PLANOS,infantiles,True,medio,2024-07-08,2400,17827
21331,OPERATIVO,2006-01-01,DOS ASIENTOS PLANOS,infantiles,Desconocido,medio,2024-09-09,2400,17852
21341,OPERATIVO,2011-02-06,DOS ASIENTOS PLANOS,infantiles,False,medio,2024-07-12,2200,17865
21343,OPERATIVO,2011-02-06,DOS ASIENTOS CUNA,infantiles,False,bajo,2024-04-15,700,17866
21363,OPERATIVO,2011-02-06,DOS ASIENTOS CUNA,infantiles,True,medio,2024-03-29,2300,17891
21364,OPERATIVO,2003-01-01,DOS ASIENTOS PLANOS,infantiles,False,medio,2024-09-24,1700,17892
21376,OPERATIVO,2007-01-01,DOS ASIENTOS PLANOS,infantiles,False,medio,2024-04-12,300,4997106
21174,OPERATIVO,2010-01-01,UNIPERSONAL,infantiles,False,medio,2024-04-10,1000,17639
21188,OPERATIVO,2000-01-01,DOS ASIENTOS PLANOS,infantiles,True,bajo,2024-02-10,300,17656
21191,OPERATIVO,2011-02-07,DOS ASIENTOS CUNA,infantiles,True,bajo,2024-09-08,800,17660
21385,OPERATIVO,2001-01-01,DOS ASIENTOS PLANOS,infantiles,False,bajo,2024-09-29,0,17927
21409,OPERATIVO,2004-01-01,0815 · DOS ASIENTOS CUNA,infantiles,False,bajo,2023-12-13,1300,17952
21430,OPERATIVO,2017-01-02,Tipo 1 KSW90014,infantiles,False,medio,2023-12-16,2000,17969
21473,OPERATIVO,2001-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,alto,2023-12-22,200,18024
21442,OPERATIVO,2003-01-01,0815 · DOS ASIENTOS CUNA,infantiles,False,alto,2024-07-27,3700,17982
21508,OPERATIVO,2005-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,bajo,2024-06-18,100,18063
21510,OPERATIVO,2000-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,bajo,2024-02-26,900,18068
21542,OPERATIVO,2004-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,medio,2024-06-07,2100,18114
21545,OPERATIVO,2006-01-01,0815 · DOS ASIENTOS CUNA,infantiles,False,bajo,Ausente,500,18118
21568,OPERATIVO,2001-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,medio,2024-02-11,500,18153
21571,OPERATIVO,2005-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,alto,2024-07-27,4300,18157
21685,OPERATIVO,2007-01-01,DOS ASIENTOS CUNA,infantiles,True,alto,2024-04-01,2300,18323
21700,OPERATIVO,2008-01-01,DOS ASIENTOS PLANOS,infantiles,False,alto,Ausente,3600,18345
21714,OPERATIVO,2006-01-01,DOS ASIENTOS PLANOS,infantiles,True,bajo,2024-04-21,1000,18355
21591,OPERATIVO,2003-01-01,DOS ASIENTOS PLANOS,infantiles,False,alto,Ausente,2700,18191
21774,OPERATIVO,2010-01-01,0744 · UNIPERSONAL,infantiles,True,alto,Ausente,3000,18432
21800,OPERATIVO,2006-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,alto,2024-01-19,1700,18465
21804,OPERATIVO,2008-01-01,0815 · DOS ASIENTOS CUNA,infantiles,False,medio,2024-10-08,1500,18468
21817,OPERATIVO,2006-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,bajo,2024-01-05,1300,18482
21820,OPERATIVO,2007-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,medio,2023-11-13,2500,18486
21832,OPERATIVO,2005-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,medio,Ausente,600,18502
